2017-12-23 09:49:40,292 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.huawei.demo:parent:0.0.1-SNAPSHOT @ E:\demo\demo_01\parent\pom.xml.
2017-12-23 09:50:33,216 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.huawei.demo:hw-parent:0.0.1-SNAPSHOT @ E:\demo\demo_01\hw-parent\pom.xml.
2017-12-23 09:51:48,130 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.huawei.demo:hw-parent:0.0.1-SNAPSHOT @ E:\demo\demo_01\hw-parent\pom.xml.
2017-12-23 09:53:00,743 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.huawei.demo:hw-parent:0.0.1-SNAPSHOT @ E:\demo\demo_01\hw-parent\pom.xml.
2017-12-23 09:53:05,638 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.huawei.demo:hw-parent:0.0.1-SNAPSHOT @ E:\demo\demo_01\hw-parent\pom.xml.
2017-12-23 09:56:30,244 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.huangguizhao:huangguizhao-mybatis-generator:0.0.1-SNAPSHOT @ E:\JAVAEE\第四阶段\day02\day02\huangguizhao-mybatis-generator\pom.xml.
2017-12-23 09:56:31,381 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /huangguizhao-mybatis-generator/src/main/java
2017-12-23 09:56:31,382 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /huangguizhao-mybatis-generator/src/main/resources
2017-12-23 09:56:31,384 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /huangguizhao-mybatis-generator/src/test/java
2017-12-23 09:56:31,385 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /huangguizhao-mybatis-generator/src/test/resources
2017-12-23 09:56:31,575 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2017-12-23 09:56:33,301 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:56:33,309 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2017-12-23 09:56:34,043 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:56:34,049 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 09:57:43,339 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:57:43,347 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 09:57:43,348 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:57:43,351 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 09:58:14,834 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:58:14,839 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 09:58:14,841 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 09:58:14,846 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
